FORMULA,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),Specific Stiffness,Specific Strength,Cost
Nb1 Ta1 Ti1 V1 W1,25.0,11.1,1420.0,187.0,20.0,16.846846846846848,127.92792792792793,11.661038614215034
Nb1 Ta1 V1 W1,25.0,12.9,1530.0,206.0,12.0,15.968992248062015,118.60465116279069,12.758740645418218
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,370.0,220.0,56.0,27.5,46.25,11.9871042758269
Al0.304 Co1 Cr1 Fe1 Ni1,25.0,7.6,260.0,210.0,87.0,27.63157894736842,34.21052631578947,14.019526218642989
Al0.304 Co1 Cr1 Fe1 Ni1,25.0,7.6,159.0,210.0,65.0,27.63157894736842,20.92105263157895,14.019526218642989
Al0.304 Co1 Cr1 Fe1 Ni1,25.0,7.6,263.0,210.0,60.0,27.63157894736842,34.60526315789474,14.019526218642989
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,25.0,8.6,350.0,234.0,21.9,27.209302325581397,40.697674418604656,21.382871932490126
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,25.0,8.6,350.0,234.0,62.4,27.209302325581397,40.697674418604656,21.382871932490126
Co1 Cr1 Fe1 Ni1,25.0,8.2,155.0,226.0,58.9,27.5609756097561,18.902439024390244,14.46442554365398
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,243.0,220.0,50.0,27.5,30.375,11.9871042758269
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,249.0,220.0,41.0,27.5,31.125,11.9871042758269
Co1 Cr1 Fe1 Ni1,25.0,8.2,190.0,226.0,70.0,27.5609756097561,23.170731707317074,14.46442554365398
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,25.0,7.8,210.0,214.0,70.0,27.435897435897438,26.923076923076923,13.974610269557264
Co1 Cr1 Fe1 Mn1 Ni1,25.0,8.0,230.0,220.0,75.0,27.5,28.75,11.9871042758269
